club_id,club,num_of_players,90s_played,tackles,tackles_won,tackles_(def_3rd),tackles_(mid_3rd),tackles_(att_3rd),dribblers_tackled,dribbles_challenged,%_of_dribblers_tackled,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tkl+int,clearances,errors,league,season
1,AEK Athens,,,,,,,,,,,,,,,,,,,,
1,AEK Athens,,,,,,,,,,,,,,,,,,,,
1,AEK Athens,,,,,,,,,,,,,,,,,,,,
2,AGF,,,,,,,,,,,,,,,,,,,,
2,AGF,,,,,,,,,,,,,,,,,,,,
2,AGF,,,,,,,,,,,,,,,,,,,,
3,AO Kifisia,,,,,,,,,,,,,,,,,,,,
4,AZ Alkmaar,,,,,,,,,,,,,,,,,,,,
4,AZ Alkmaar,,,,,,,,,,,,,,,,,,,,
4,AZ Alkmaar,,,,,,,,,,,,,,,,,,,,
5,Aalborg,,,,,,,,,,,,,,,,,,,,
5,Aalborg,,,,,,,,,,,,,,,,,,,,
6,Adana Demirspor,,,,,,,,,,,,,,,,,,,,
6,Adana Demirspor,,,,,,,,,,,,,,,,,,,,
6,Adana Demirspor,,,,,,,,,,,,,,,,,,,,
7,Admira,,,,,,,,,,,,,,,,,,,,
8,Ajaccio,36.0,38.0,637.0,382.0,321.0,236.0,80.0,313.0,694.0,45.0,381.0,359.0,85.0,274.0,420.0,1057.0,670.0,10.0,Ligue_1,2022_2023
9,Ajax,,,,,,,,,,,,,,,,,,,,
9,Ajax,,,,,,,,,,,,,,,,,,,,
9,Ajax,,,,,,,,,,,,,,,,,,,,
10,Alanyaspor,,,,,,,,,,,,,,,,,,,,
10,Alanyaspor,,,,,,,,,,,,,,,,,,,,
10,Alanyaspor,,,,,,,,,,,,,,,,,,,,
11,Alavés,33.0,38.0,550.0,324.0,271.0,221.0,58.0,262.0,637.0,41.0,375.0,373.0,106.0,267.0,376.0,926.0,890.0,7.0,La_Liga,2021_2022
11,Alavés,30.0,38.0,578.0,347.0,284.0,227.0,67.0,290.0,629.0,46.0,339.0,363.0,117.0,246.0,279.0,857.0,810.0,5.0,La_Liga,2023_2024
12,Almere City,,,,,,,,,,,,,,,,,,,,
13,Almería,29.0,38.0,557.0,322.0,292.0,202.0,63.0,280.0,623.0,44.0,343.0,435.0,122.0,313.0,322.0,879.0,855.0,13.0,La_Liga,2022_2023
13,Almería,35.0,38.0,633.0,372.0,354.0,222.0,57.0,280.0,582.0,48.0,302.0,430.0,134.0,296.0,313.0,946.0,856.0,19.0,La_Liga,2023_2024
14,Altay,,,,,,,,,,,,,,,,,,,,
15,Anderlecht,,,,,,,,,,,,,,,,,,,,
15,Anderlecht,,,,,,,,,,,,,,,,,,,,
15,Anderlecht,,,,,,,,,,,,,,,,,,,,
16,Angers,33.0,38.0,652.0,386.0,311.0,268.0,73.0,310.0,610.0,50.0,300.0,402.0,99.0,303.0,375.0,1027.0,605.0,13.0,Ligue_1,2022_2023
16,Angers,30.0,38.0,619.0,370.0,301.0,253.0,65.0,284.0,659.0,43.0,375.0,384.0,99.0,285.0,423.0,1042.0,631.0,9.0,Ligue_1,2021_2022
17,Ankaragücü,,,,,,,,,,,,,,,,,,,,
17,Ankaragücü,,,,,,,,,,,,,,,,,,,,
18,Antalyaspor,,,,,,,,,,,,,,,,,,,,
18,Antalyaspor,,,,,,,,,,,,,,,,,,,,
18,Antalyaspor,,,,,,,,,,,,,,,,,,,,
19,Antwerp,,,,,,,,,,,,,,,,,,,,
19,Antwerp,,,,,,,,,,,,,,,,,,,,
19,Antwerp,,,,,,,,,,,,,,,,,,,,
20,Apollon Smyrnis,,,,,,,,,,,,,,,,,,,,
21,Arda,,,,,,,,,,,,,,,,,,,,
21,Arda,,,,,,,,,,,,,,,,,,,,
21,Arda,,,,,,,,,,,,,,,,,,,,
22,Aris,,,,,,,,,,,,,,,,,,,,
22,Aris,,,,,,,,,,,,,,,,,,,,
22,Aris,,,,,,,,,,,,,,,,,,,,
23,Arminia,26.0,34.0,549.0,311.0,270.0,235.0,44.0,238.0,543.0,43.0,305.0,395.0,110.0,285.0,421.0,970.0,770.0,7.0,Bundesliga,2021_2022
24,Arouca,31.0,34.0,530.0,339.0,255.0,204.0,71.0,291.0,604.0,48.0,313.0,361.0,92.0,269.0,262.0,792.0,637.0,8.0,Primeira_Liga,2023_2024
24,Arouca,35.0,34.0,496.0,308.0,231.0,211.0,54.0,269.0,557.0,48.0,288.0,316.0,71.0,245.0,355.0,851.0,616.0,8.0,Primeira_Liga,2021_2022
24,Arouca,29.0,34.0,568.0,342.0,305.0,211.0,52.0,282.0,594.0,47.0,312.0,369.0,114.0,255.0,355.0,923.0,777.0,7.0,Primeira_Liga,2022_2023
25,Arsenal,25.0,38.0,610.0,348.0,257.0,246.0,107.0,271.0,543.0,49.0,272.0,412.0,106.0,306.0,292.0,902.0,515.0,18.0,Premier_League,2023_2024
25,Arsenal,26.0,38.0,568.0,343.0,238.0,212.0,118.0,249.0,509.0,48.0,260.0,362.0,86.0,276.0,237.0,805.0,599.0,23.0,Premier_League,2022_2023
25,Arsenal,27.0,38.0,540.0,311.0,261.0,195.0,84.0,244.0,500.0,48.0,256.0,386.0,123.0,263.0,296.0,836.0,658.0,20.0,Premier_League,2021_2022
26,Asteras Tripoli,,,,,,,,,,,,,,,,,,,,
26,Asteras Tripoli,,,,,,,,,,,,,,,,,,,,
26,Asteras Tripoli,,,,,,,,,,,,,,,,,,,,
27,Aston Villa,31.0,38.0,547.0,311.0,269.0,210.0,68.0,260.0,550.0,47.0,290.0,389.0,113.0,276.0,236.0,783.0,597.0,13.0,Premier_League,2023_2024
27,Aston Villa,26.0,38.0,632.0,338.0,305.0,251.0,76.0,312.0,648.0,48.0,336.0,438.0,118.0,320.0,324.0,956.0,714.0,14.0,Premier_League,2022_2023
27,Aston Villa,31.0,38.0,634.0,382.0,300.0,259.0,75.0,300.0,649.0,46.0,349.0,453.0,140.0,313.0,339.0,973.0,693.0,13.0,Premier_League,2021_2022
28,Atalanta,27.0,38.0,636.0,364.0,291.0,272.0,73.0,312.0,634.0,49.0,322.0,455.0,93.0,362.0,421.0,1057.0,613.0,12.0,Serie_A,2022_2023
