nation_rank,nation_prev_rank,nation,confederation,points
1,5,Brazil,CONMEBOL,1838
2,6,Belgium,UEFA,1822
3,1,Argentina,CONMEBOL,1771
4,2,France,UEFA,1765
5,4,England,UEFA,1737
6,3,Spain,UEFA,1717
7,10,Italy,UEFA,1714
8,7,Netherlands,UEFA,1679
9,8,Portugal,UEFA,1679
10,21,Denmark,UEFA,1665
11,13,Germany,UEFA,1659
12,17,Mexico,CONCACAF,1650
13,11,Uruguay,CONMEBOL,1641
14,16,United States,CONCACAF,1635
15,12,Croatia,UEFA,1632
16,15,Switzerland,UEFA,1621
17,9,Colombia,CONMEBOL,1604
18,19,Senegal,CAF,1585
19,30,Wales,UEFA,1582
20,29,Sweden,UEFA,1563
21,42,Peru,CONMEBOL,1562
22,20,Iran,AFC,1559
23,14,Morocco,CAF,1558
24,18,Japan,AFC,1555
25,32,Serbia,UEFA,1550
26,28,Poland,UEFA,1546
27,25,Ukraine,UEFA,1543
28,23,South Korea,AFC,1526
29,43,Chile,CONMEBOL,1515
30,41,Tunisia,CAF,1508
31,39,Nigeria,CAF,1505
32,47,Czech Republic,UEFA,1503
33,22,Austria,UEFA,1502
34,49,Costa Rica,CONCACAF,1500
35,33,Russia,UEFA,1493
36,50,Norway,UEFA,1489
37,31,Hungary,UEFA,1487
38,51,Cameroon,CAF,1485
39,24,Australia,AFC,1484
40,36,Egypt,CAF,1483
41,46,Algeria,CAF,1481
42,26,Türkiye,UEFA,1475
43,40,Canada,CONCACAF,1474
44,27,Ecuador,CONMEBOL,1464
45,48,Scotland,UEFA,1463
46,53,Mali,CAF,1443
47,58,Republic of Ireland,UEFA,1442
48,34,Qatar,AFC,1442
49,54,Greece,UEFA,1441
50,62,Paraguay,CONMEBOL,1440
51,44,Slovakia,UEFA,1440
52,38,Ivory Coast,CAF,1436
53,56,Saudi Arabia,AFC,1436
54,45,Romania,UEFA,1428
55,67,Burkina Faso,CAF,1426
56,37,Venezuela,CONMEBOL,1405
57,75,Bosnia-Herzegovina,UEFA,1404
58,74,Northern Ireland,UEFA,1399
59,63,Finland,UEFA,1398
60,64,Ghana,CAF,1393
61,35,Panama,CONCACAF,1389
62,59,Jamaica,CONCACAF,1382
63,71,Iceland,UEFA,1380
64,72,North Macedonia,UEFA,1375
65,52,Slovenia,UEFA,1372
66,66,Albania,UEFA,1362
67,73,Montenegro,UEFA,1355
68,57,South Africa,CAF,1351
69,69,United Arab Emirates,AFC,1346
70,55,Iraq,AFC,1339
71,81,El Salvador,CONCACAF,1333
72,60,Democratic Republic of the Congo,CAF,1333
73,65,Cape Verde,CAF,1331
74,82,Bulgaria,UEFA,1325
75,76,Oman,AFC,1323
76,78,Israel,UEFA,1316
77,61,Uzbekistan,AFC,1307
78,87,China,AFC,1305
79,83,Gabon,CAF,1302
80,79,Honduras,CONCACAF,1300
81,89,Bolivia,CONMEBOL,1299
82,70,Georgia,UEFA,1296
83,77,Guinea,CAF,1295
84,86,Curaçao,CONCACAF,1293
85,80,Bahrain,AFC,1289
86,68,Jordan,AFC,1280
87,92,Zambia,CAF,1271
88,85,Haiti,CONCACAF,1269
89,93,Syria,AFC,1265
90,95,Uganda,CAF,1265
91,91,Benin,CAF,1259
92,97,Armenia,UEFA,1242
93,84,Luxembourg,UEFA,1235
94,96,Palestine,AFC,1234
95,102,Kyrgyzstan,AFC,1233
96,99,Belarus,UEFA,1227
97,115,Vietnam,AFC,1219
98,88,Equatorial Guinea,CAF,1215
99,118,Republic of the Congo,CAF,1215
100,116,Lebanon,AFC,1212
101,100,Trinidad and Tobago,CONCACAF,1206
102,108,Kenya,CAF,1202
103,94,New Zealand,OFC,1199
104,124,India,AFC,1199
105,105,Madagascar,CAF,1194
106,106,Kosovo,UEFA,1184
107,112,Mauritania,CAF,1182
108,127,Cyprus,UEFA,1181
109,103,Tajikistan,AFC,1179
110,123,Estonia,UEFA,1177
111,101,Thailand,AFC,1171
112,110,North Korea,AFC,1170
113,122,Sierra Leone,CAF,1170
114,109,Kazakhstan,UEFA,1166
115,114,Guinea-Bissau,CAF,1166
116,104,Mozambique,CAF,1165
117,98,Namibia,CAF,1164
118,107,Guatemala,CONCACAF,1162
119,125,Niger,CAF,1155
120,90,Angola,CAF,1149
121,117,Libya,CAF,1148
122,126,Malawi,CAF,1145
123,129,Zimbabwe,CAF,1139
124,132,The Gambia,CAF,1137
125,138,Faroe Islands,UEFA,1136
126,120,Togo,CAF,1130
127,119,Comoros,CAF,1127
128,111,Azerbaijan,UEFA,1127
129,137,Latvia,UEFA,1125
130,121,Sudan,CAF,1125
131,113,Tanzania,CAF,1122
132,148,Antigua and Barbuda,CONCACAF,1117
133,128,Central African Republic,CAF,1116
134,147,Philippines,AFC,1115
135,144,Turkmenistan,AFC,1100
136,131,Rwanda,CAF,1095
137,141,Solomon Islands,OFC,1093
138,143,Ethiopia,CAF,1088
139,130,Nicaragua,CONCACAF,1079
140,146,Saint Kitts and Nevis,CONCACAF,1077
141,139,Burundi,CAF,1076
142,135,Lithuania,UEFA,1074
143,140,Suriname,CONCACAF,1072
144,155,Eswatini,CAF,1071
145,149,Lesotho,CAF,1061
146,145,Botswana,CAF,1060
147,159,Hong Kong,AFC,1058
148,134,Malaysia,AFC,1058
149,136,Kuwait,AFC,1053
150,142,Liberia,CAF,1051
151,150,Dominican Republic,CONCACAF,1032
152,164,Andorra,UEFA,1029
153,156,Yemen,AFC,1024
154,151,Afghanistan,AFC,1023
155,133,Indonesia,AFC,1019
156,163,Maldives,AFC,1018
157,165,Chinese Taipei,AFC,1018
158,166,Myanmar,AFC,1012
159,161,Singapore,AFC,1005
160,160,New Caledonia,OFC,1000
161,168,Papua New Guinea,OFC,998
162,158,Tahiti,OFC,995
163,153,Fiji,OFC,993
164,162,Vanuatu,OFC,991
165,169,South Sudan,CAF,984
166,177,Barbados,CONCACAF,982
167,167,Cuba,CONCACAF,979
168,171,Bermuda,CONCACAF,977
169,172,Malta,UEFA,975
170,157,Puerto Rico,CONCACAF,974
171,173,Grenada,CONCACAF,969
172,154,Guyana,CONCACAF,969
173,170,Saint Lucia,CONCACAF,966
174,180,Cambodia,AFC,954
175,183,Belize,CONCACAF,951
176,175,Nepal,AFC,950
177,152,Moldova,UEFA,945
178,176,Montserrat,CONCACAF,941
179,174,Saint Vincent and the Grenadines,CONCACAF,940
180,179,Mauritius,CAF,932
181,178,Chad,CAF,932
182,185,Macau,AFC,922
183,188,Laos,AFC,915
184,189,Mongolia,AFC,914
185,181,Dominica,CONCACAF,912
186,182,Bhutan,AFC,911
187,191,São Tomé and Príncipe,CAF,908
188,187,American Samoa,OFC,900
189,186,Cook Islands,OFC,899
190,190,Brunei Darussalam,AFC,897
191,192,Samoa,OFC,894
192,184,Bangladesh,AFC,883
193,193,Djibouti,CAF,878
194,199,Liechtenstein,UEFA,874
195,197,Pakistan,AFC,867
196,195,Cayman Islands,CONCACAF,866
197,200,Tonga,OFC,862
198,201,Seychelles,CAF,860
199,196,Timor-Leste,AFC,860
200,198,Gibraltar,UEFA,857
202,194,Aruba,CONCACAF,855
203,203,Bahamas,CONCACAF,855
204,202,Somalia,CAF,855
205,204,Guam,AFC,838
206,206,Turks and Caicos Islands,CONCACAF,832
207,205,Sri Lanka,AFC,825
208,208,United States Virgin Islands,CONCACAF,824
209,207,British Virgin Islands,CONCACAF,809
210,209,Anguilla,CONCACAF,791
211,210,San Marino,UEFA,764
